,Review Title,Review Content,Stars,Combined Review,Sentiment Combined
71,Ok,The product price shows it's I usefulness as the table top can easily drop if not pushed out in a certain way iit also need something to stablize its legs as they move easily too overall it needs a bit more work on it to make it more stable for its purpose as I do think the elderly would struggle with it.It does fold away neatly thoughRead full review...,3 stars,Ok The product price shows it's I usefulness as the table top can easily drop if not pushed out in a certain way iit also need something to stablize its legs as they move easily too overall it needs a bit more work on it to make it more stable for its purpose as I do think the elderly would struggle with it.It does fold away neatly thoughRead full review...,0.8908
72,Folding portable  table,"Love it ,its exactly like it says in advert.Fits all my needs highly recommend x",5 stars,"Folding portable  table Love it ,its exactly like it says in advert.Fits all my needs highly recommend x",0.8588
73,To flimsy,Very flimsy not safe for granny to put her hot meal on don’t sit completely flat then when u move to to tilt it all comes apart,3 stars,To flimsy Very flimsy not safe for granny to put her hot meal on don’t sit completely flat then when u move to to tilt it all comes apart,-0.3959
74,Portable table,"Best thing I could have bought for my mother.As she is getting on in age and can't move about much,she can sit in her armchair setting her meals,so Easter for her.",5 stars,"Portable table Best thing I could have bought for my mother.As she is getting on in age and can't move about much,she can sit in her armchair setting her meals,so Easter for her.",0.6369
75,Versatile table,This is a very versatile table. It can be used with chairs and over a bed. I has an adjustableslope as well as variable heights.,4 stars,Versatile table This is a very versatile table. It can be used with chairs and over a bed. I has an adjustableslope as well as variable heights.,0.2732
76,A must to own ,Very good item to have when watching TV.folds away when not needed.,5 stars,A must to own  Very good item to have when watching TV.folds away when not needed.,0.4927
77,Flimsy.,When you unfold this you must have to put it against a wall otherwise just keeps falling down over all this is flimsy but you get what you pay for.,3 stars,Flimsy. When you unfold this you must have to put it against a wall otherwise just keeps falling down over all this is flimsy but you get what you pay for.,-0.2263
78,floppy table,the table is flimsy wobbly not to secure the 2 supporting arms keep popping out when you move it and the tray keeps dropping not very well made,3 stars,floppy table the table is flimsy wobbly not to secure the 2 supporting arms keep popping out when you move it and the tray keeps dropping not very well made,-0.043
79,Good adjustable table.,Bought for my Granddaughter and it was exactly what I was looking for as she loves doing Arts n Crafts  thanks.,5 stars,Good adjustable table. Bought for my Granddaughter and it was exactly what I was looking for as she loves doing Arts n Crafts  thanks.,0.8591
80,Great with having different height positions,Amazing table. Very handy to use watching tv. It's fantastic.,5 stars,Great with having different height positions Amazing table. Very handy to use watching tv. It's fantastic.,0.91
81,dinner lap top tray,great for my lap top i can sit in comfort thanks,5 stars,dinner lap top tray great for my lap top i can sit in comfort thanks,0.9022
82,No issues for a regular user,"Bought to replace a similar table for my Mum that she has been using every day for more than 10 years, she is very pleased and has swapped them over with no issues whatsoever",5 stars,"No issues for a regular user Bought to replace a similar table for my Mum that she has been using every day for more than 10 years, she is very pleased and has swapped them over with no issues whatsoever",-0.0534
83,Portable table,Table does not feel very strong. The tray is warped and I wouldn’t feel safe putting anything on it that may spill. Can’t expect too much for the price.,1 stars,Portable table Table does not feel very strong. The tray is warped and I wouldn’t feel safe putting anything on it that may spill. Can’t expect too much for the price.,-0.0049
84,table,Very useful. Easy to assemble. Would have been more stable with an extra support between the two legs. Very good for the money,4 stars,table Very useful. Easy to assemble. Would have been more stable with an extra support between the two legs. Very good for the money,0.9295
85,Rubbish Table,"This product doesnt even let table be flat, always at a angle and flimsy. Considering i have walking problems, though it would help me. Its rubbish.",1 stars,"Rubbish Table This product doesnt even let table be flat, always at a angle and flimsy. Considering i have walking problems, though it would help me. Its rubbish.",0.0
86,Portable table,Received quite quick easy to assembly but not very sturdy other wise does the job,3 stars,Portable table Received quite quick easy to assembly but not very sturdy other wise does the job,0.7673
87,"Very practical and easy assembly, quick delivery as well","My table mate is better than I thought it would be, lovely product",5 stars,"Very practical and easy assembly, quick delivery as well My table mate is better than I thought it would be, lovely product",0.8993
88,Shame,Flimsy and wobbly. Not fit for purpose. My dinner fell off when I used it. Shame someone wasn't filming for you've been framed,1 stars,Shame Flimsy and wobbly. Not fit for purpose. My dinner fell off when I used it. Shame someone wasn't filming for you've been framed,-0.8079
89,FOLDING TABLES,I purchased 4 of these tables and found on using the tables they leaned forwards and your meal ended up on the brand new carpet to which i was very annoyed so i wont recommed them at all,1 stars,FOLDING TABLES I purchased 4 of these tables and found on using the tables they leaned forwards and your meal ended up on the brand new carpet to which i was very annoyed so i wont recommed them at all,-0.4391
